plate,ID,dil,batch
parce lys 2023.03.08 plate 10,260,1,1
parce lys 2023.03.08 plate 11,261,1,1
parce lys 2023.03.08 plate 11,262,1,1
parce lys 2023.03.08 plate 11,263,1,1
parce lys 2023.03.08 plate 11,264,1,1
parce lys 2023.03.08 plate 11,265,1,1
parce lys 2023.03.08 plate 11,266,1,1
parce lys 2023.03.08 plate 11,267,1,1
parce lys 2023.03.08 plate 11,268,1,1
parce lys 2023.03.08 plate 11,269,1,1
parce lys 2023.03.08 plate 11,270,1,1
parce lys 2023.03.08 plate 11,271,1,1
parce lys 2023.03.08 plate 11,272,1,1
parce lys 2023.03.08 plate 11,273,1,1
parce lys 2023.03.08 plate 11,274,1,1
parce lys 2023.03.08 plate 11,275,1,1
parce lys 2023.03.08 plate 11,276,1,1
parce lys 2023.03.08 plate 11,277,1,1
parce lys 2023.03.08 plate 11,278,1,1
parce lys 2023.03.08 plate 11,279,1,1
parce lys 2023.03.08 plate 11,280,1,1
parce lys 2023.03.08 plate 11,281,1,1
parce lys 2023.03.08 plate 11,282,1,1
parce lys 2023.03.08 plate 11,283,1,1
parce lys 2023.03.08 plate 11,284,1,1
parce lys 2023.03.08 plate 11,285,1,1
parce lys 2023.03.08 plate 11,286,1,1
parce lys 2023.03.08 plate 12,287,1,1
parce lys 2023.03.08 plate 12,288,1,1
parce lys 2023.03.08 plate 12,289,1,1
parce lys 2023.03.08 plate 12,290,1,1
parce lys 2023.03.08 plate 12,291,1,1
parce lys 2023.03.08 plate 12,292,1,1
parce lys 2023.03.08 plate 12,293,1,1
parce lys 2023.03.08 plate 12,294,1,1
parce lys 2023.03.08 plate 12,295,1,1
parce lys 2023.03.08 plate 12,296,1,1
parce lys 2023.03.08 plate 12,297,1,1
parce lys 2023.03.08 plate 12,298,1,1
parce lys 2023.03.08 plate 12,299,1,1
parce lys 2023.03.08 plate 12,300,1,1
parce lys 2023.03.08 plate 12,301,1,1
parce lys 2023.03.08 plate 12,302,1,1
parce lys 2023.03.08 plate 12,303,1,1
parce lys 2023.03.08 plate 12,304,1,1
parce lys 2023.03.08 plate 12,305,1,1
parce lys 2023.03.08 plate 12,306,1,1
parce lys 2023.03.08 plate 12,307,1,1
parce lys 2023.03.08 plate 12,308,1,1
parce lys 2023.03.08 plate 12,309,1,1
parce lys 2023.03.08 plate 12,310,1,1
parce lys 2023.03.08 plate 12,311,1,1
parce lys 2023.03.08 plate 12,312,1,1
parce lys 2023.03.09 plate 13,313,1,1
parce lys 2023.03.09 plate 13,314,1,1
parce lys 2023.03.09 plate 13,315,1,1
parce lys 2023.03.09 plate 13,316,1,1
parce lys 2023.03.09 plate 13,317,1,1
parce lys 2023.03.09 plate 13,318,1,1
parce lys 2023.03.09 plate 13,319,1,1
parce lys 2023.03.09 plate 13,320,1,1
parce lys 2023.03.09 plate 13,321,1,1
parce lys 2023.03.09 plate 13,322,1,1
parce lys 2023.03.09 plate 13,323,1,1
parce lys 2023.03.09 plate 13,324,1,1
parce lys 2023.03.09 plate 13,325,1,1
parce lys 2023.03.09 plate 13,326,1,1
parce lys 2023.03.09 plate 13,327,1,1
parce lys 2023.03.09 plate 13,328,1,1
parce lys 2023.03.09 plate 13,329,1,1
parce lys 2023.03.09 plate 13,330,1,1
parce lys 2023.03.09 plate 13,331,1,1
parce lys 2023.03.09 plate 13,332,1,1
parce lys 2023.03.09 plate 13,333,1,1
parce lys 2023.03.09 plate 13,334,1,1
parce lys 2023.03.09 plate 13,335,1,1
parce lys 2023.03.09 plate 13,336,1,1
parce lys 2023.03.09 plate 13,337,1,1
parce lys 2023.03.09 plate 13,338,1,1
parce lys 2023.03.09 plate 14,339,1,1
parce lys 2023.03.09 plate 14,340,1,1
parce lys 2023.03.09 plate 14,341,1,1
parce lys 2023.03.09 plate 14,342,1,1
parce lys 2023.03.09 plate 14,343,1,1
parce lys 2023.03.09 plate 14,344,1,1
parce lys 2023.03.09 plate 14,345,1,1
parce lys 2023.03.09 plate 14,346,1,1
parce lys 2023.03.09 plate 14,347,1,1
parce lys 2023.03.09 plate 14,348,1,1
parce lys 2023.03.09 plate 14,349,1,1
parce lys 2023.03.09 plate 14,350,1,1
parce lys 2023.03.09 plate 14,351,1,1
parce lys 2023.03.09 plate 14,352,1,1
parce lys 2023.03.09 plate 14,353,1,1
parce lys 2023.03.09 plate 14,354,1,1
parce lys 2023.03.09 plate 14,355,1,1
parce lys 2023.03.09 plate 14,356,1,1
parce lys 2023.03.09 plate 14,357,1,1
parce lys 2023.03.09 plate 14,358,1,1
parce lys 2023.03.09 plate 14,359,1,1
parce lys 2023.03.09 plate 14,360,1,1
parce lys 2023.03.09 plate 14,361,1,1
parce lys 2023.03.09 plate 14,362,1,1
parce lys 2023.03.09 plate 14,363,1,1
parce lys 2023.03.09 plate 14,364,1,1
parce lys 2023.03.09 plate 15,365,1,1
parce lys 2023.03.09 plate 15,366,1,1
parce lys 2023.03.09 plate 15,367,1,1
parce lys 2023.03.09 plate 15,368,1,1
parce lys 2023.03.09 plate 15,369,1,1
parce lys 2023.03.09 plate 15,370,1,1
parce lys 2023.03.09 plate 15,371,1,1
parce lys 2023.03.09 plate 15,372,1,1
parce lys 2023.03.09 plate 15,373,1,1
parce lys 2023.03.09 plate 15,374,1,1
parce lys 2023.03.09 plate 15,375,1,1
parce lys 2023.03.09 plate 15,376,1,1
parce lys 2023.03.09 plate 15,377,1,1
parce lys 2023.03.09 plate 15,378,1,1
parce lys 2023.03.09 plate 15,379,1,1
parce lys 2023.03.09 plate 15,380,1,1
parce lys 2023.03.09 plate 15,381,1,1
parce lys 2023.03.09 plate 15,382,1,1
parce lys 2023.03.09 plate 15,383,1,1
parce lys 2023.03.09 plate 15,384,1,1
parce lys 2023.03.09 plate 15,385,1,1
parce lys 2023.03.09 plate 15,386,1,1
parce lys 2023.03.09 plate 15,387,1,1
parce lys 2023.03.09 plate 15,388,1,1
parce lys 2023.03.09 plate 15,389,1,1
parce lys 2023.03.09 plate 15,390,1,1
parce lys 2023.03.09 plate 16,391,1,1
parce lys 2023.03.09 plate 16,392,1,1
parce lys 2023.03.09 plate 16,393,1,1
parce lys 2023.03.09 plate 16,394,1,1
parce lys 2023.03.09 plate 16,395,1,1
parce lys 2023.03.09 plate 16,396,1,1
parce lys 2023.03.09 plate 16,397,1,1
parce lys 2023.03.09 plate 16,NA,1,1
parce lys 2023.03.09 plate 16,399,1,1
parce lys 2023.03.09 plate 16,400,1,1
parce lys 2023.03.09 plate 16,401,1,1
parce lys 2023.03.09 plate 16,402,1,1
parce lys 2023.03.09 plate 16,403,1,1
parce lys 2023.03.09 plate 16,404,1,1
parce lys 2023.03.09 plate 16,405,1,1
parce lys 2023.03.09 plate 16,406,1,1
parce lys 2023.03.09 plate 16,407,1,1
parce lys 2023.03.09 plate 16,408,1,1
parce lys 2023.03.09 plate 16,409,1,1
parce lys 2023.03.09 plate 16,410,1,1
parce lys 2023.03.09 plate 16,411,1,1
parce lys 2023.03.09 plate 16,412,1,1
parce lys 2023.03.09 plate 16,413,1,1
parce lys 2023.03.09 plate 16,414,1,1
parce lys 2023.03.09 plate 16,415,1,1
parce lys 2023.03.09 plate 16,416,1,1
parce lys 2023.03.09 plate 17,417,1,1
parce lys 2023.03.09 plate 17,418,1,1
parce lys 2023.03.09 plate 17,419,1,1
parce lys 2023.03.09 plate 17,420,1,1
parce lys 2023.03.09 plate 17,421,1,1
parce lys 2023.03.09 plate 17,422,1,1
parce lys 2023.03.09 plate 17,423,1,1
parce lys 2023.03.09 plate 17,424,1,1
parce lys 2023.03.09 plate 17,425,1,1
parce lys 2023.03.09 plate 17,426,1,1
parce lys 2023.03.09 plate 17,427,1,1
parce lys 2023.03.09 plate 17,428,1,1
parce lys 2023.03.09 plate 17,429,1,1
parce lys 2023.03.09 plate 17,430,1,1
parce lys 2023.03.09 plate 17,431,1,1
parce lys 2023.03.09 plate 17,432,1,1
parce lys 2023.03.09 plate 17,433,1,1
parce lys 2023.03.09 plate 17,434,1,1
parce lys 2023.03.09 plate 17,435,1,1
parce lys 2023.03.09 plate 17,436,1,1
parce lys 2023.03.09 plate 17,437,1,1
parce lys 2023.03.09 plate 17,438,1,1
parce lys 2023.03.09 plate 17,439,1,1
parce lys 2023.03.09 plate 17,440,1,1
parce lys 2023.03.09 plate 17,441,1,1
parce lys 2023.03.09 plate 17,442,1,1
parce lys 2023.03.09 plate 18,443,1,1
parce lys 2023.03.09 plate 18,444,1,1
parce lys 2023.03.09 plate 18,445,1,1
parce lys 2023.03.09 plate 18,446,1,1
parce lys 2023.03.09 plate 18,447,1,1
parce lys 2023.03.09 plate 18,448,1,1
parce lys 2023.03.09 plate 18,449,1,1
parce lys 2023.03.09 plate 18,450,1,1
parce lys 2023.03.09 plate 18,451,1,1
parce lys 2023.03.09 plate 18,452,1,1
parce lys 2023.03.09 plate 18,453,1,1
parce lys 2023.03.09 plate 18,454,1,1
parce lys 2023.03.09 plate 18,455,1,1
parce lys 2023.03.09 plate 18,456,1,1
parce lys 2023.03.09 plate 18,457,1,1
parce lys 2023.03.09 plate 18,458,1,1
